M0: U00:0.07386458827570423_[2] U01:0.04876577408433364_[3] V00:0.10884270922046949_[1] V01:0.32768849259778204_[0] 
M1: V03:0.053577257297535985_[1] U00:0.05216951538608991_[2] U01:0.038106910586334745_[3] V02:0.38774370403413827_[0] 
M2: V04:0.1018659027147028_[1] V05:0.37683781781894593_[0] U00:0.033968630532765165_[3] U01:0.03762522438858452_[2] 
M3: U01:0.03929683827207182_[3] V06:0.05275831721211046_[2] V07:0.3595229570213797_[0] U00:0.09327114936570743_[1] 
M4: U00:0.0722406167735902_[1] U01:0.026568896506209402_[3] V08:0.05560805712181221_[2] V09:0.3741434707560169_[0] 
M5: V11:0.10737559810997702_[2] U00:0.13611301848962057_[1] U01:0.039271299973460475_[3] V10:0.33035700865263384_[0] 
M6: V12:0.08665419439099334_[2] V13:0.3616539016821134_[0] U00:0.1241884376146444_[1] U01:0.059322432938155596_[3] 
M7: U01:0.01858058127745624_[3] V14:0.1100527884780983_[1] V15:0.3874276211100594_[0] U00:0.04258990458187055_[2] 

M8: U02:0.059450094594387555_[2] U03:0.05622089475150698_[3] V00:0.38214903390440563_[0] V01:0.11213709051827446_[1] 
M9: V03:0.3877864223339607_[0] U02:0.0831597519252103_[1] U03:0.04108804453968659_[3] V02:0.07140591270794185_[2] 
M10: V04:0.3845529478545381_[0] V05:0.08603473728401816_[1] U02:0.06092352991204351_[3] U03:0.07167748917748917_[2] 
M11: U03:0.04416223078923852_[2] V06:0.3838052164497184_[0] V07:0.03572240983556318_[3] U02:0.11923495697061193_[1] 
M12: U02:0.09082269165968501_[2] U03:0.09224237046549284_[1] V08:0.30274270834981754_[0] V09:0.04761913442701465_[3] 
M13: V11:0.3089168144170641_[0] U02:0.04857032763068161_[3] U03:0.04943675329822773_[2] V10:0.18819312870115332_[1] 
M14: V12:0.0783106772120613_[3] V13:0.11212774363204357_[1] U02:0.3225613908828937_[0] U03:0.10770884461414239_[2] 
M15: U03:0.08446248875220988_[2] V14:0.3926645185459636_[0] V15:0.0404885703173516_[3] U02:0.09344930692621703_[1] 

M16: U04:0.062297994555147826_[2] U05:0.04909967796256733_[3] V00:0.10641233932808432_[1] V01:0.3706621186802165_[0] 
M17: V03:0.14506359906356264_[1] U04:0.025063913744057666_[3] U05:0.042295499389628545_[2] V02:0.34766185787529075_[0] 
M18: V04:0.3178636124745338_[0] V05:0.17164495322697967_[1] U04:0.037374187746732554_[3] U05:0.04436622418014455_[2] 
M19: U05:0.049541369824780815_[3] V06:0.10114608306132504_[1] V07:0.35062584017245396_[0] U04:0.08548879636721728_[2] 
