M0: W00:0.12505624999999998_[2] W01:0.09355029585798816_[3] U00:0.12812500000000002_[1] U01:0.29629374999999997_[0] 
M1: U03:0.13506604938271602_[1] W00:0.11230231481481481_[2] W01:0.07874830246913579_[3] U02:0.1884007134363852_[0] 
M2: U04:0.267456500545052_[0] U05:0.12852454587022488_[2] W00:0.1464110482616342_[1] W01:0.12349339218964321_[3] 
M3: W01:0.03271166662388655_[3] U06:0.05813167989417989_[1] U07:0.03781740017251123_[2] W00:0.43001832484186225_[0] 
M4: W00:0.08662982640255368_[3] W01:0.21235504394595303_[1] U08:0.09534023668639054_[2] U09:0.2164859273574154_[0] 
M5: U11:0.4317981121538898_[0] W00:0.05794076629361056_[2] W01:0.04488213498627588_[3] U10:0.11322308426217892_[1] 
M6: U12:0.14495606657342963_[1] U13:0.10010330578512396_[2] W00:0.06489145103146292_[3] W01:0.35484369973870494_[0] 
M7: W01:0.21306213184498154_[0] U14:0.11256556919642857_[3] U15:0.15879840171362664_[2] W00:0.21277343811986146_[1] 

M8: W02:0.03151349026683097_[3] W03:0.4487137961681877_[0] U00:0.05428358843537416_[1] U01:0.03445795438034136_[2] 
M9: U03:0.1475864016211088_[2] W02:0.0699125_[3] W03:0.1535525321239607_[1] U02:0.3520734914225994_[0] 
M10: U04:0.06916129712301587_[3] U05:0.07539192631785224_[2] W02:0.14334805135845366_[1] W03:0.33083789409120906_[0] 
M11: W03:0.11379786032753725_[2] U06:0.055535219429252346_[3] U07:0.14637047923200663_[1] W02:0.33817333769185925_[0] 
M12: W02:0.334445804948979_[0] W03:0.16629149291259718_[1] U08:0.05130143425597971_[3] U09:0.09412721893491124_[2] 
M13: U11:0.08051019198815347_[1] W02:0.061235734508149356_[2] W03:0.38431272322404747_[0] U10:0.025844486584417632_[3] 
M14: U12:0.05666666666666667_[3] U13:0.15722765397481306_[2] W02:0.32711853723927586_[0] W03:0.18012258649000618_[1] 
M15: W03:0.3002562828212551_[0] U14:0.08257484170490643_[2] U15:0.14943519094032015_[1] W02:0.05666666666666667_[3] 

M16: W04:0.17973651918178982_[1] W05:0.09363635930735933_[3] U00:0.3222494378449114_[0] U01:0.1424862455804833_[2] 
M17: U03:0.15665438213045638_[3] W04:0.21302029564267114_[1] W05:0.21304004971943202_[0] U02:0.19055196185617104_[2] 
M18: U04:0.15200983913206134_[1] U05:0.24393711185933403_[0] W04:0.107292426580621_[2] W05:0.07149416619902732_[3] 
M19: W05:0.07277833685921921_[3] U06:0.16256071837432784_[2] U07:0.17759837477337478_[0] W04:0.1759532233052943_[1] 
M20: W04:0.16502327444635134_[1] W05:0.24382011862781086_[0] U08:0.13518813275613273_[2] U09:0.1327665404040404_[3] 
M21: U11:0.26391931148109604_[0] W04:0.11690166493236213_[2] W05:0.10488484848484851_[3] U10:0.17554370447450568_[1] 
M22: U12:0.16675851395903482_[1] U13:0.38185933972772085_[0] W04:0.11786022596703391_[2] W05:0.08220517676767676_[3] 
M23: W05:0.13193681318681316_[2] U14:0.09957142857142857_[3] U15:0.1861220958971824_[1] W04:0.27235841081994927_[0] 

M24: W06:0.08623092265001733_[3] W07:0.08708333333333333_[2] U00:0.17385206103844625_[1] U01:0.22499349635796048_[0] 
M25: U03:0.1236556031112391_[2] W06:0.112832812434984_[3] W07:0.13639470880681817_[1] U02:0.2866074607130143_[0] 
M26: U04:0.07692307692307693_[3] U05:0.10458299326207131_[2] W06:0.12413460843008582_[1] W07:0.35472240131704363_[0] 
M27: W07:0.10125489831349208_[1] U06:0.05523313492063491_[3] U07:0.4052771283757769_[0] W06:0.0880776962921855_[2] 
M28: W06:0.03851837491634682_[3] W07:0.09437084073103222_[1] U08:0.3583077931276693_[0] U09:0.059737668079869424_[2] 
M29: U11:0.38849474263375916_[0] W06:0.09095235177828787_[1] W07:0.06830009013933076_[2] U10:0.02860554426110353_[3] 
M30: U12:0.17540905877002813_[1] U13:0.26349950142621753_[0] W06:0.1405793510756405_[3] W07:0.14496862940076236_[2] 
M31: W07:0.10551844107218446_[3] U14:0.12514705882352942_[1] U15:0.3124174169643126_[0] W06:0.11212569426168083_[2] 

M32: W08:0.14856550761386153_[1] W09:0.0644977317526337_[2] U00:0.4357742096012714_[0] U01:0.06087135223711054_[3] 
M33: U03:0.09947085632216825_[2] W08:0.04671351096591395_[3] W09:0.10122872436205768_[1] U02:0.30406355943439267_[0] 
M34: U04:0.14104365079365078_[1] U05:0.07973583234946871_[3] W08:0.3542610095796131_[0] W09:0.11699596586681547_[2] 
M35: W09:0.16463401360544216_[1] U06:0.06023760330578512_[3] U07:0.1334_[2] W08:0.23767619047619049_[0] 
M36: W08:0.19916598639455782_[0] W09:0.17908979591836735_[2] U08:0.11891518737672585_[3] U09:0.17942148760330578_[1] 
M37: U11:0.30669774383914783_[0] W08:0.11508076331851437_[2] W09:0.1734904854620598_[1] U10:0.11481069930069929_[3] 
M38: U12:0.38304892785492195_[0] U13:0.11845010153267117_[2] W08:0.11763392857142857_[3] W09:0.13215553677092137_[1] 
M39: W09:0.08209002535925612_[3] U14:0.09702138559666892_[1] U15:0.4045801809558779_[0] W08:0.09467075892857144_[2] 

M40: W10:0.07171571428571427_[3] W11:0.12094850214065093_[2] U00:0.22043685880750996_[0] U01:0.20280363363585693_[1] 
M41: U03:0.12594032861078316_[2] W10:0.14625368949232587_[1] W11:0.07662460645415191_[3] U02:0.18867946428571428_[0] 
M42: U04:0.07640485491071429_[2] U05:0.053789062500000005_[3] W10:0.08353185714285712_[1] W11:0.3540764285714285_[0] 
M43: W11:0.07147070907487574_[1] U06:0.044098445391414144_[2] U07:0.4566831391966791_[0] W10:0.037370043041877764_[3] 
M44: W10:0.19433851502033322_[1] W11:0.22326413485504393_[0] U08:0.11064778645833331_[3] U09:0.11976220238095237_[2] 
M45: U11:0.14523927387804939_[1] W10:0.1163677682611506_[3] W11:0.12683501316391937_[2] U10:0.1738904552045177_[0] 
M46: U12:0.2876743778664855_[0] U13:0.0678661438276823_[3] W10:0.1533950158541419_[1] W11:0.06945473625958319_[2] 
M47: W11:0.348001366816804_[0] U14:0.0886939994617716_[2] U15:0.16893004115226337_[1] W10:0.07836169440770134_[3] 

M48: W12:0.3412736127576361_[0] W13:0.08578747739143361_[1] U00:0.04339499621935866_[3] U01:0.06859758769350978_[2] 
M49: U03:0.05225617140795711_[3] W12:0.1180458491161616_[1] W13:0.10273671021438881_[2] U02:0.2934212259714492_[0] 
M50: U04:0.055895691609977316_[3] U05:0.0740680286106212_[2] W12:0.3754279000320668_[0] W13:0.08376994498556997_[1] 
M51: W13:0.059042746630639784_[3] U06:0.07751755221038853_[2] U07:0.09944444444444447_[1] W12:0.4103720547090224_[0] 
M52: W12:0.332713316607051_[0] W13:0.057292173721340385_[2] U08:0.055095985497910574_[3] U09:0.1391947651257014_[1] 
M53: U11:0.13514888915143863_[1] W12:0.3635079467223471_[0] W13:0.029054625009320247_[3] U10:0.07846577264147415_[2] 
M54: U12:0.14410237785609772_[1] U13:0.09196346582710219_[3] W12:0.09726059441866228_[2] W13:0.35572139310787143_[0] 
M55: W13:0.061379870129870125_[3] U14:0.14251642069602227_[1] U15:0.32936875625471596_[0] W12:0.06515586513993799_[2] 

M56: W14:0.06495005938883489_[3] W15:0.1417223664021164_[2] U00:0.2168877976190476_[1] U01:0.2837270992063492_[0] 
M57: U03:0.14520833333333333_[2] W14:0.06975034435261708_[3] W15:0.1571712962962963_[1] U02:0.31367685185185185_[0] 
M58: U04:0.07572759487882944_[3] U05:0.131724350263292_[1] W14:0.125054630087329_[2] W15:0.35691968199044316_[0] 
M59: W15:0.29014517604023776_[0] U06:0.06395479024943312_[3] U07:0.16338105852766344_[1] W14:0.118628125_[2] 
M60: W14:0.06977810650887574_[2] W15:0.06795215140876765_[3] U08:0.28800827707264387_[0] U09:0.1800555504191322_[1] 
M61: U11:0.056022353598850994_[2] W14:0.045487084783483664_[3] W15:0.14772858080938886_[1] U10:0.2626659757728016_[0] 
M62: U12:0.2870913896266898_[0] U13:0.0723418209876543_[3] W14:0.17620645419285436_[1] W15:0.09619032629420443_[2] 
M63: W15:0.07849566359094173_[1] U14:0.058782188204580525_[2] U15:0.4235038638646403_[0] W14:0.041695675897868996_[3] 

M64: W00:0.22565614029165545_[0] W01:0.16407107975515348_[1] U02:0.12864706997757552_[2] U03:0.06094658708295071_[3] 
M65: U05:0.1107384148753264_[3] W00:0.12175514209836825_[1] W01:0.11140624999999997_[2] U04:0.28275940217784157_[0] 
M66: U06:0.10929171075837743_[3] U07:0.24908403944304047_[0] W00:0.11264973544973544_[2] W01:0.1748702528532074_[1] 
M67: W01:0.1255004460058171_[1] U08:0.11556587428413602_[2] U09:0.2137662585090568_[0] W00:0.09952391168943901_[3] 
M68: W00:0.20351692185719233_[1] W01:0.21353073435409542_[0] U10:0.15728857719558406_[2] U11:0.09943082348941956_[3] 
M69: U13:0.09542011019283746_[2] W00:0.2171139455782313_[0] W01:0.08753063725490196_[3] U12:0.16914625850340131_[1] 
M70: U14:0.06869249604273843_[3] U15:0.21018747526711518_[0] W00:0.17958856846062526_[1] W01:0.11460270498732038_[2] 
M71: W01:0.03564752731980125_[3] U00:0.13872549302549303_[1] U01:0.09251008606777839_[2] W00:0.46161905062169845_[0] 

M72: W02:0.1107327647371099_[1] W03:0.07227446802262388_[2] U02:0.34059587802232594_[0] U03:0.06796595982142857_[3] 
M73: U05:0.1061997839587729_[2] W02:0.07451629531825564_[3] W03:0.17901767430572701_[1] U04:0.23703691146186892_[0] 
M74: U06:0.034175557240407654_[2] U07:0.18839965425845046_[1] W02:0.01580068048689879_[3] W03:0.3092215118649326_[0] 
M75: W03:0.3820253783204303_[0] U08:0.11516117810760669_[2] U09:0.11764512783535462_[1] W02:0.05511809579022906_[3] 
M76: W02:0.0524590224653781_[3] W03:0.41025425897756784_[0] U10:0.05866079640618485_[2] U11:0.07242125272450763_[1] 
M77: U13:0.13625219409999434_[2] W02:0.22077692373025307_[0] W03:0.067734375_[3] U12:0.1798456190476191_[1] 
M78: U14:0.3757381389104432_[0] U15:0.11276129430019805_[1] W02:0.10388888888888888_[2] W03:0.027077151182201626_[3] 
M79: W03:0.05871062801455_[2] U00:0.4196404309071189_[0] U01:0.11519970951343499_[1] W02:0.034967784797983015_[3] 

M80: W04:0.10709372114496767_[3] W05:0.12298125_[1] U02:0.18280932594644506_[0] U03:0.11188124999999997_[2] 
M81: U05:0.1157096510808366_[1] W04:0.0750014550354468_[3] W05:0.0767897727272727_[2] U04:0.3273839850265569_[0] 
M82: U06:0.18242108829693865_[1] U07:0.1732265103785104_[2] W04:0.24443639441938758_[0] W05:0.10528208172252493_[3] 
M83: W05:0.13813982786931658_[2] U08:0.08416955017301038_[3] U09:0.18566285714285713_[1] W04:0.18598111658456484_[0] 
M84: W04:0.21334386111111112_[0] W05:0.21203674999999997_[1] U10:0.11977887617065557_[3] U11:0.12226454293628809_[2] 
M85: U13:0.396345630168139_[0] W04:0.10187533491542518_[2] W05:0.09058148148148147_[3] U12:0.18454518430439953_[1] 
M86: U14:0.1692911531528477_[2] U15:0.3102663632202614_[0] W04:0.07630657862103174_[3] W05:0.17420623928241658_[1] 
M87: W05:0.23883025395563787_[0] U00:0.12088291774891774_[2] U01:0.0607325570520015_[3] W04:0.17686258556739412_[1] 

M88: W06:0.050648212175464856_[3] W07:0.41016282918470426_[0] U02:0.10865985694689399_[1] U03:0.05267436896870491_[2] 
M89: U05:0.0684470009951005_[1] W06:0.04803254437869823_[3] W07:0.39365716254535865_[0] U04:0.05231017185204523_[2] 
M90: U06:0.04396726767579589_[3] U07:0.12520472756410259_[2] W06:0.3019089256096388_[0] W07:0.14126729079657482_[1] 
M91: W07:0.13875456387404533_[1] U08:0.2752985450313575_[0] U09:0.11536086666155025_[2] W06:0.07409241367856231_[3] 
M92: W06:0.02742008018974606_[3] W07:0.3789428775579503_[0] U10:0.06540678765165696_[2] U11:0.0996243427539901_[1] 
M93: U13:0.09931413197849186_[3] W06:0.11159661227661227_[2] W07:0.13473545228366166_[1] U12:0.32668556421151573_[0] 
M94: U14:0.06181443907162396_[3] U15:0.3923868034762251_[0] W06:0.08024655762821443_[2] W07:0.16435133966125698_[1] 
M95: W07:0.1471425795775405_[2] U00:0.15748290456755296_[1] U01:0.21286187282769312_[0] W06:0.054712498225274915_[3] 

M96: W08:0.13914286398270884_[2] W09:0.14845465443121694_[1] U02:0.11775452628968254_[3] U03:0.3332630424572395_[0] 
M97: U05:0.13949553571428575_[2] W08:0.08043981481481481_[3] W09:0.2008542199501217_[1] U04:0.29540508617312017_[0] 
M98: U06:0.12256228216228214_[1]_[2] U07:0.2075726356976357_[0] W08:0.12256228216228214_[1]_[2] W09:0.10952894882894881_[3] 
M99: W09:0.10896537909821934_[2] U08:0.10865564476675588_[3] U09:0.12564807420517296_[1] W08:0.3034620260410201_[0] 
M100: W08:0.38695985356787915_[0] W09:0.04379586350024528_[3] U10:0.1017222323114828_[1] U11:0.0747182629715963_[2] 
M101: U13:0.07888779811753936_[2] W08:0.4223577102127168_[0] W09:0.11777310924369745_[1] U12:0.07319444444444444_[3] 
M102: U14:0.1306448852250253_[1] U15:0.2920296494534261_[0] W08:0.10386478420569328_[2] W09:0.09551775664891336_[3] 
M103: W09:0.12510141093474425_[1] U00:0.4115393016704142_[0] U01:0.08424087233134298_[3] W08:0.11146246693121692_[2] 

M104: W10:0.11676432291666668_[3] W11:0.12428888888888887_[2] U02:0.16122199074074078_[1] U03:0.3301650462962963_[0] 
M105: U05:0.1617583423520924_[1] W10:0.12794973544973542_[2] W11:0.0652883854372774_[3] U04:0.3336752792996934_[0] 
M106: U06:0.049739263712478006_[3] U07:0.20459531842339698_[0] W10:0.19941229234750055_[1] W11:0.15106107432380128_[2] 
M107: W11:0.08100708260443609_[1] U08:0.017840260761334388_[3] U09:0.4625331616650032_[0] W10:0.06467588377846774_[2] 
M108: W10:0.023596425143641752_[3] W11:0.0850523366483574_[1] U10:0.032276463736448935_[2] U11:0.44052728569466304_[0] 
M109: U13:0.11221305356693169_[2] W10:0.3294428468000145_[0] W11:0.09315833959429001_[3] U12:0.17216771413841356_[1] 
M110: U14:0.2222162388392857_[0] U15:0.08955593899367328_[3] W10:0.17151674107142853_[1] W11:0.1397975061900658_[2] 
M111: W11:0.06648003472222222_[3] U00:0.1879796232218378_[1] U01:0.22789215686274508_[0] W10:0.10855522682445759_[2] 

M112: W12:0.11357746920753287_[2] W13:0.1488829460524097_[1] U02:0.2430425090768516_[0] U03:0.042558982162022696_[3] 
M113: U05:0.33927988740776516_[0] W12:0.07664535066845361_[2] W13:0.1058121829335543_[1] U04:0.05370000874934714_[3] 
M114: U06:0.0433129408100473_[2] U07:0.1743017539439348_[1] W12:0.2910494019791747_[0] W13:0.036501413825372156_[3] 
M115: W13:0.059000214351668634_[2] U08:0.05582154399155784_[3] U09:0.3669607681484413_[0] W12:0.11101507936507934_[1] 
