M0: V00:0.32684312596285836_[0] V01:0.10842102272727275_[2] W00:0.27367791303286926_[1] W01:0.06710510696730854_[3] 
M1: W03:0.13371381575926214_[1] V00:0.28934115223690476_[0] V01:0.09388955936559666_[2] W02:0.07554560770481684_[3] 
M2: W04:0.06927446488696488_[1] W05:0.06279976938587888_[3] V00:0.3540344523423215_[0] V01:0.06629360026128552_[2] 
M3: V01:0.1412774212417663_[1] W06:0.05651703921078921_[3] W07:0.08827057364702819_[2] V00:0.3522686723608861_[0] 
M4: V00:0.2230726274214427_[1] V01:0.2763955825352673_[0] W08:0.08835058402959638_[2] W09:0.08284595508658009_[3] 
M5: W11:0.04122243729541356_[3] V00:0.1443844004249455_[1] V01:0.33428936087893674_[0] W10:0.06262613321726548_[2] 
M6: W12:0.424979781122461_[0] W13:0.0665834967088651_[2] V00:0.13694877922077922_[1] V01:0.06633074261382389_[3] 
M7: V01:0.10736666666666665_[1] W14:0.05467694774046816_[3] W15:0.09911649305555555_[2] V00:0.4110305919420716_[0] 

M8: V02:0.12103725555787037_[1] V03:0.3537974011619564_[0] W00:0.06541458289602868_[2] W01:0.028737356888984076_[3] 
M9: W03:0.20729543405839704_[0] V02:0.12985079325107024_[3] V03:0.16364488815749106_[2] W02:0.18527507400578394_[1] 
M10: W04:0.0656944361806919_[3] W05:0.0717520973403939_[2] V02:0.148454717630854_[1] V03:0.2526791085724864_[0] 
M11: V03:0.35594301692556124_[0] W06:0.07086866268394493_[1] W07:0.06734173826426719_[2] V02:0.04330188334472201_[3] 
M12: V02:0.19997703143210957_[1] V03:0.3446213551408729_[0] W08:0.10062059010594354_[2] W09:0.08866074592074594_[3] 
M13: W11:0.05794939450554929_[3] V02:0.13759122365523746_[2] V03:0.1449622214205547_[1] W10:0.4386314465284166_[0] 
M14: W12:0.32148617782011374_[0] W13:0.07010615396139672_[3] V02:0.07490456321022726_[2] V03:0.13885711866481099_[1] 
M15: V03:0.10607390510447591_[1] W14:0.02771497657885662_[3] W15:0.03033713364747534_[2] V02:0.3867141539592213_[0] 

M16: V04:0.14002167126426385_[3] V05:0.20049526070637183_[1] W00:0.18559519204304692_[2] W01:0.2826324867647084_[0] 
M17: W03:0.11629336518900142_[1] V04:0.049277760500071544_[2] V05:0.37893465365571466_[0] W02:0.03780568513844956_[3] 
